source,target,connection,type
undocumented labor,Trump tower,build,Verb
undocumented workers,American workers,let,Verb
unfair somebody,citizen,runs,Verb
energy neighbors,rest world,trade,Verb
Russian government,espionage Americans,engaged,Verb
American,private people,accounts,Verb
Donald Trump,Putin election,think,Verb
pivot fact,open borders,wants,Verb
finish borders,open borders,wants,Verb
nuclear warheads,chicken,playing,Verb
Russians,cyber attacks,admit,Verb
wish list,NATO,wants,Verb
foreign government,interfere election,'ve,Verb
civilian military,highest levels,concluded,Verb
Secretary Clinton-,myself,think,Verb
officials country,Russia hacks,believe,Verb
United States,Russia,got,Verb
person,nuclear weapons,use,Verb
weapons president,order,gives,Verb
nuclear codes,nuclear button,said,Verb
Japan countries,everybody world,ripped,Verb
bargain century,renegotiate agreements,said,Verb
United States,peace alliances,kept,Verb
Donald,tear alliances,wants,Verb
hope,immigration,handle,Verb
government,big role,plays,Verb
Mr. Trump,taxes regulation,want,Verb
plan,plan,explain,Verb
problem,new opportunities,create,Verb
new jobs,small business,want,Verb
wage people,time poverty,want,Verb
women,pay work,want,Verb
education system,preschool,feel,Verb
peel jobs,future,prepare,Verb
Bernie Sanders,"125,000",worked,Verb
great recession,fair share,gone,Verb
independent experts,new jobs,said,Verb
conclude,jobs,analyzed,Verb
plan,greater opportunities,think,Verb
cost jobs,great recession,lead,Verb
plan,secretary Clinton,thank,Verb
plan disaster,college tuition,wants,Verb
money,Saudi Arabia,protect,Verb
NATO,NATO,heard,Verb
jobs,economy,sucked,Verb
jobs,Mexico places,fled,Verb
country,engine rolling,dying,Verb
tax cuts,debt,add,Verb
husband president,national debt,went,Verb
President Obama,great depression,came,Verb
Secretary Clinton,GDP growth,want,Verb
President Obama,stimulus,told,Verb
President Obama,touch situation,Let,Verb
administration team,economy,seen,Verb
credit,hard positions,believe,Verb
kind approach,new jobs,enable,Verb
jobs,election,said,Verb
bill husband,factories,pass,Verb
worst things,country,signed,Verb
chance,pivot,want,Verb
China,aluminum markets,problems,Verb
fought senator,Secretary State,stood,Verb
Donald,steel aluminum,bought,Verb
sued,businesses,start,Verb
Beijing,rights,went,Verb
monitoring raid,Celebrity Apprentice,brought,Verb
American people,better job,’ve,Verb
small group,huge vacuum,came,Verb
women,kissed consent,said,Verb
campaign,rallies violence,believe,Verb
Obama,violence,caused,Verb
Donald,women,know,Verb
true future,grandchildren,children,Verb
fiction,sleazy campaign,mentions,Verb
mails,FBI,know,Verb
fame,crooked campaign,talking,Verb
young man,serving country,died,Verb
federal judge,University parents,went,Verb
violence rallies,violence,caused,Verb
donors donors,contracts,speciall,Verb
Clinton Foundation,Senate committee,went,Verb
Saudi Arabia,25 million,given,Verb
great gesture,tremendous money,think,Verb
money,behalf programs,spend,Verb
rating watchdogs,foundations,follow,Verb
money people,foot portrait,took,Verb
earthquake hurricanes,Haiti,devastated,Verb
Bill,Haiti years,involved,Verb
money,lawsuit,settle,Verb
American flag,American flag,fought,Verb
houses veterans,disabled veterans,imposed,Verb
undocumented immigrants,income tax,pay,Verb
America,tax billionaire,find,Verb
Buffett,dollars,know,Verb
George Soros,dollars,took,Verb
changed law,law money,change,Verb
Mr. Trump,question topic,want,Verb
Governor Pence,result election,pledged,Verb
York Times,article it,care,Verb
registered vote,vote,registered,Verb
winner country,good country,saying,Verb
FBI,mails,conducted,Verb
fraud racketeering,Trump University,sued,Verb
outcomes,general election,accepted,Verb
major parties,position,kind,Verb
confront,president,happens,Verb
Iraq,occupying force,led,Verb
military advisers,military operation,pay,Verb
Iranians Russians,eye ISIS,remain,Verb
terrorists,weapons,let,Verb
U.S. troops,return,prevent,Verb
Mosul,Mosul,took,Verb
Iran,Iraq,said,Verb
Iraq,Iran,left,Verb
Donald implying,invasion Iraq,support,Verb
sources,invasion Iraq,verify,Verb
matters,truth position,told,Verb
Celebrity apprentice,justice,went,Verb
Syria Raqqa,tough fighting,think,Verb
Iran,Iraq,taking,Verb
John Podesta,terrible instincts,said,Verb
Bernie Sanders,bad judgment,said,Verb
dangerous person,president,said,Verb
Syria Russia,ISIS,said,Verb
ones bombing,Aleppo,announced,Verb
cash,big stage,cash,Verb
chances,war,says,Verb
question,concerns,respond,Verb
President Clinton,plane,impose,Verb
save,end conflict,hasten,Verb
Syrians purpose,zones ground,negotiation,Verb
Donald,refugees,claims,Verb
coming face,thorough vetting,sat,Verb
communities lines,prevent attacks,solve,Verb
Donald,born Queens,nightclub,Verb
Folks,final segment,want,Verb
Russia,fire,took,Verb
country,Putin Assad,outplayed,Verb
Mr. Trump,final segment,need,Verb
dealing,great people,are,Verb
companies,money,said,Verb
America,know slogan,hear,Verb
Reagan president,Times time,took,Verb
evidence,diminish growth,slow,Verb
economy,economy,think,Verb
world,economy,think,Verb
area,debt entitlements,want,Verb
Social Security,cuts benefits,looked,Verb
Trump deal,bargain entitlements,save,Verb
thing repeal,known Obamacare,replace,Verb
disaster,replace,repeal,Verb
trust funds,money,run,Verb
benefit cuts,programs,includes,Verb
record saying,Trust fund,need,Verb
assuming,nasty woman,figure,Verb
workers women,Security system,want,Verb
Donald,national debt,proposing,Verb
opportunity working,better you,'ve,Verb
children,work,families,Verb
kids,preschool college,educations,Verb
money people,control,raising,Verb
thank,debates,want,Verb
debates,Presidential Debates,brings,Verb
